address	chain_name	city	store_name	chain_code	store_code
 מרכז מסחרי ויוה	BE	חדרה	ויוה חדרה	7290027600007	242
 מרכז מסחרי ויוה	BE	חדרה 	ויוה חדרה	7290027600007	242
 רוטישילד 57	טיב טעם	פתח תקווה	מונטיפיורטי פתח תקוה	7290873255550	87
 רוטישילד 57	טיב טעם	פתח תקווה 	מונטיפיורטי פתח תקוה	7290873255550	87
 רח.זבולון 4	יש בשכונה	קרית אתא	קרית אתא- זבולון	7290027600007	307
 רח.זבולון 4	יש בשכונה	קרית אתא 	קרית אתא- זבולון	7290027600007	307
1 אבני חושן	שופרסל דיל	קרית גת	כרמי גת	7290027600007	254
1 אבני חושן	שופרסל דיל	קרית גת 	כרמי גת	7290027600007	254
1 אבנר בן נר	Carrefour city (קרפור סיטי)	נס ציונה	נצר סירני	7290055700007	4220
1 אבנר בן נר	Carrefour city (קרפור סיטי)	נס ציונה 	נצר סירני	7290055700007	4220
1 אחימאיר	שופרסל אקספרס	תל אביב	אחימאיר	7290027600007	301
1 דרך חברון	yellow	באר שבע	מתחם באר שבע מרכז-תו	7290644700005	602
1 דרך חברון	yellow	באר שבע 	מתחם באר שבע מרכז-תו	7290644700005	602
1 הנשיא	Carrefour city (קרפור סיטי)	דימונה 	דימונה	7290055700007	523
1 הנשיא	מגה בעיר	דימונה	דימונה	7290055700007	523
1 הנשיא	מגה בעיר	דימונה 	דימונה	7290055700007	523
1 השיקמה	שופרסל אקספרס	סביון 	סביון	7290027600007	579
1 התקומה	מגה בעיר	רעננה	קרית שרת	7290055700007	850
1 התקומה	מגה בעיר	רעננה 	קרית שרת	7290055700007	850
1 כורזין	Carrefour market (קרפור מרקט)	גבעתיים 	יהלומים	7290055700007	1201
1 נהר הירדן	יש חסד	בית שמש	רסידו	7290027600007	234
1 נהר הירדן	יש חסד	בית שמש 	רסידו	7290027600007	234
1 פיקוד מרכז	yellow	ירושלים	מנדלבאום	7290644700005	513
1 פיקוד מרכז	yellow	ירושלים 	מנדלבאום	7290644700005	513
1 קניון אורות	שופרסל דיל	אור עקיבא	חדרה- קניון אורות	7290027600007	95
1 קניון אורות	שופרסל דיל	אור עקיבא 	חדרה- קניון אורות	7290027600007	95
1 שדרות לוי אשכול כיכר קוגל	yellow	חולון	חולון	7290644700005	114
1 שדרות לוי אשכול כיכר קוגל	yellow	חולון 	חולון	7290644700005	114
1 שלום אש	Carrefour city (קרפור סיטי)	תל אביב	פארק הירקון	7290055700007	2518
1 שלום אש	מגה בעיר	תל אביב	פארק הירקון	7290055700007	2518
1 שלום עליכם	Carrefour city (קרפור סיטי)	הוד השרון	הוד השרון	7290055700007	1040
1 שלום עליכם	Carrefour city (קרפור סיטי)	הוד השרון 	הוד השרון	7290055700007	1040
1 ששת הימים	שופרסל אקספרס	נס ציונה	ששת הימים	7290027600007	325
1 ששת הימים	שופרסל אקספרס	נס ציונה 	ששת הימים	7290027600007	325
10 העצמאות	Carrefour market (קרפור מרקט)	קרית אתא	בית וגן ק.אתא	7290055700007	2240
10 העצמאות	Carrefour market (קרפור מרקט)	קרית אתא 	בית וגן ק.אתא	7290055700007	2240
10 ככר צפניה	yellow	אשקלון	אשקלון-אפרידר - זיו	7290644700005	534
10 ככר צפניה	yellow	אשקלון 	אשקלון-אפרידר - זיו	7290644700005	534
10 משה לוי	שופרסל דיל	רמלה	רמלה	7290027600007	790
10 משה לוי	שופרסל דיל	רמלה 	רמלה	7290027600007	790
