,address,chain_name,city,store_name,chain_code,store_code
0, מרכז מסחרי ויוה,BE,חדרה,ויוה חדרה,7290027600007,242
2, רוטישילד 57,טיב טעם,פתח תקווה,מונטיפיורטי פתח תקוה,7290873255550,87
4, רח.זבולון 4,יש בשכונה,קרית אתא,קרית אתא- זבולון,7290027600007,307
6,1 אבני חושן,שופרסל דיל,קרית גת,כרמי גת,7290027600007,254
8,1 אבנר בן נר,Carrefour city (קרפור סיטי),נס ציונה,נצר סירני,7290055700007,4220
10,1 אחימאיר,שופרסל אקספרס,תל אביב,אחימאיר,7290027600007,301
11,1 דרך חברון,yellow,באר שבע,מתחם באר שבע מרכז-תו,7290644700005,602
13,1 הנשיא,Carrefour city (קרפור סיטי),דימונה,דימונה,7290055700007,523
16,1 השיקמה,שופרסל אקספרס,סביון,סביון,7290027600007,579
17,1 התקומה,מגה בעיר,רעננה,קרית שרת,7290055700007,850
19,1 כורזין,Carrefour market (קרפור מרקט),גבעתיים,יהלומים,7290055700007,1201
20,1 נהר הירדן,יש חסד,בית שמש,רסידו,7290027600007,234
22,1 פיקוד מרכז,yellow,ירושלים,מנדלבאום,7290644700005,513
24,1 קניון אורות,שופרסל דיל,אור עקיבא,חדרה- קניון אורות,7290027600007,95
26,1 שדרות לוי אשכול כיכר קוגל,yellow,חולון,חולון,7290644700005,114
28,1 שלום אש,Carrefour city (קרפור סיטי),תל אביב,פארק הירקון,7290055700007,2518
30,1 שלום עליכם,Carrefour city (קרפור סיטי),הוד השרון,הוד השרון,7290055700007,1040
32,1 ששת הימים,שופרסל אקספרס,נס ציונה,ששת הימים,7290027600007,325
34,10 העצמאות,Carrefour market (קרפור מרקט),קרית אתא,בית וגן ק.אתא,7290055700007,2240
36,10 ככר צפניה,yellow,אשקלון,אשקלון-אפרידר - זיו,7290644700005,534
38,10 משה לוי,שופרסל דיל,רמלה,רמלה,7290027600007,790
40,10 סנפיר,Carrefour city (קרפור סיטי),תל אביב,כפר שלם,7290055700007,2490
42,10 שער הים,Carrefour city (קרפור סיטי),הרצליה,נוף ים,7290055700007,4160
44,100 קיבוץ גלויות,yellow,תל אביב,קיבוץ גלויות,7290644700005,165
45,101 אברהם אבינו,Carrefour city (קרפור סיטי),באר שבע,צפון באר-שבע,7290055700007,2976
47,11 דרך בית לחם,yellow,ירושלים,בקעה,7290644700005,501
49,11 ההסתדרות,Carrefour city (קרפור סיטי),רעננה,ותיקים,7290055700007,870
51,113 עוזיאל,Carrefour city (קרפור סיטי),רמת גן,רווה רמת גן,7290055700007,515
54,114 אחוזה,מגה בעיר,רעננה,מרכז רעננה,7290055700007,820
56,117 הרצל,yellow,רמלה,רמלה גדולה,7290644700005,149
58,12 אורי,Carrefour city (קרפור סיטי),תל אביב,מגדלי דוד,7290055700007,1236
60,12 חנקין,שופרסל אקספרס,הוד השרון,הוד השרון,7290027600007,299
62,121 שדרות ירושליים,שופרסל אקספרס,ראשון לציון,נרקיסים,7290027600007,777
64,126 דבורה הנביאה,רמי לוי,תל אביב,רמת החייל,7290058140886,55
65,13 אופנהיימר,Carrefour city (קרפור סיטי),תל אביב,נווה אביבים,7290055700007,914
66,13 דרך השלום,yellow,תל אביב,השלום,7290644700005,158
67,13 קפלן,Carrefour city (קרפור סיטי),פתח תקווה,"בילינסון פ""ת",7290055700007,1279
69,134 שדרות הנשיא,Carrefour market (קרפור מרקט),חיפה,אודיטוריום חיפה,7290055700007,4280
71,136 דרך נמיר,yellow,תל אביב,הירקון,7290644700005,112
72,14 גרינבאום יצחק,Carrefour city (קרפור סיטי),נתניה,אזורים נתניה,7290055700007,981
75,15 אלוף שדה-רמת גן,yellow,רמת גן,אלוף שדה,7290644700005,151
77,15 דרך ירושלים,Carrefour city (קרפור סיטי),רחובות,גני העיר רחובות,7290055700007,2190
80,15 הרצל,yellow,ראשון לציון,עוז-ראשלצ,7290644700005,159
82,15 לאה,Carrefour city (קרפור סיטי),תל אביב,נאות אפקה,7290055700007,337
84,16 האורנים,Carrefour city (קרפור סיטי),רמת גן,רמת אפעל,7290055700007,752
87,162 בן גוריון,מגה בעיר,גבעתיים,בן גוריון גבעתיים,7290055700007,460
89,188 הרצל,yellow,תל אביב,אבו כביר,7290644700005,100
90,19 המלך דוד,yellow,ירושלים,המלך דוד,7290644700005,502
92,19 כצנלסון,מגה בעיר,הרצליה,נווה עמל,7290055700007,4170
94,196 דרך יפו,yellow,חיפה,עוז בת גלים,7290644700005,337
96,199 משה סנה,yellow,רמת השרון,מתחם טופז,7290644700005,179
98,2 הארזים,Carrefour city (קרפור סיטי),רמת גן,בית אבות רמת אפעל,7290055700007,698
100,2 הגדוד העברי,שוק מהדרין,רעננה,מרכז גולן רעננה ,7290725900003,830
102,2 הדר,Carrefour city (קרפור סיטי),הרצליה,הדר הרצליה,7290055700007,4120
105,2 החסידה,שופרסל אקספרס,מודיעין-מכבים-רעות,הציפורים מודיעין,7290027600007,477
107,2 הירקונים,yellow,פתח תקווה,פתח תקוה צפון,7290644700005,123
109,2 הנשיאים,שופרסל שלי,הוד השרון,הוד השרון,7290027600007,216
111,2 הראשונים,yellow,רמת גן,עלית רמת-גן,7290644700005,133
113,"2 הרוא""ה",מגה בעיר,רמת גן,הרואה רמת גן,7290055700007,493
115,2 יעקב כהן,Carrefour city (קרפור סיטי),כפר סבא,רון כפר סבא,7290055700007,1139
117,2 יצחק נבון,שופרסל,קריית אונו,שופרסל אקספרס,7290027600007,757
121,2 עודד,מגה בעיר,תל אביב,רמת הטייסים,7290055700007,159
122,2 שדרות דוד בן גוריון,yellow,מצפה רמון,מצפה רמון,7290644700005,6109
124,2 שלמה המלך,שופרסל אקספרס,קרית אונו,שלמה המלך,7290027600007,740
125,20 א.צ גרינברג,Carrefour city (קרפור סיטי),חיפה,גרינברג חיפה,7290055700007,140
127,20 ויצמן,Carrefour city (קרפור סיטי),תל אביב,ויצמן תל אביב,7290055700007,132
128,20 חנה סנש,מגה בעיר,חיפה,מגדלי כרמל,7290055700007,4640
130,20 כצנלסון,Carrefour city (קרפור סיטי),כפר סבא,קניון כפר סבא,7290055700007,1030
133,20 מבצע סיני,מגה בעיר,בת ים,רמת יוסף,7290055700007,256
135,20 נחל פרת,שופרסל דיל,באר שבע,"הפארק ב""ש",7290027600007,110
137,209 בני אפרים,Carrefour city (קרפור סיטי),תל אביב,מעוז אביב,7290055700007,1295
138,21 קדושי קהיר,מגה בעיר,חולון,נאות רחל,7290055700007,329
140,21 רח אלטלף,yellow,יהוד-מונוסון,יהוד - תומר מואב,7290644700005,257
142,22 שד המדע א.ת רמת גבריאל,yellow,מגדל העמק,מגדל העמק,7290644700005,415
144,23 לוי אשכול,yellow,קרית אונו,קרית אונו,7290644700005,177
146,24 משה רום,Carrefour city (קרפור סיטי),חולון,נאות שושנים,7290055700007,345
148,24 סעדיה גאון,yellow,תל אביב,רשף,7290644700005,203
149,25 החלוץ,yellow,חיפה,הדר,7290644700005,307
151,25 ירמיהו,שערי רווחה,ירושלים,ירמיהו,7290027600007,448
153,25 מעלה יצחק,yellow,נוף הגליל,נצרת עילית,7290644700005,414
155,25 רוגוזין,Carrefour city (קרפור סיטי),אשדוד,הצרכנייה אשדוד ד',7290055700007,353
157,266 דרך מצדה,yellow,באר שבע,מתחם נאות המדבר - ני,7290644700005,605
159,27 דרך סלמה,yellow,תל אביב,סלמה,7290644700005,131
160,28 הרצל,Carrefour city (קרפור סיטי),פתח תקווה,חפץ חיים,7290055700007,1171
163,29 יגאל אלון,Carrefour city (קרפור סיטי),חיפה,רמות אלון,7290055700007,3580
165,29 ירושלים,Carrefour city (קרפור סיטי),נתניה,ירושלים נתניה,7290055700007,620
167,3 רח שמיר א.ת בכניסה לעיר,yellow,ערד,מתחם דוד ערד,7290644700005,627
169,3 שדרות דרום,yellow,קרית גת,מתחם קרית גת,7290644700005,118
171,30 אבן גבירול,Carrefour city (קרפור סיטי),תל אביב,אבן גבירול,7290055700007,213
172,30 מטודלה,שופרסל אקספרס,תל אביב,אקספרס מטודלה תל אביב,7290027600007,842
173,304 המלך שאול,yellow,בית שאן,בית שאן - ניתוב - של,7290644700005,304
175,32 בן זכאי,Carrefour market (קרפור מרקט),אלעד,אלעד ,7290055700007,4270
176,32 בן זכאי,שוק מהדרין,אלעד,אלעד ,7290725900003,4270
178,32 המדע א.ת. הצפוני,yellow,אשדוד,אשדוד עזרא גבריאל,7290644700005,533
180,32 הרב קוק,Carrefour city (קרפור סיטי),נתניה,לב נתניה,7290055700007,2577
183,32 התעש פינת הפועל,yellow,כפר סבא,איצטדיון כס,7290644700005,235
185,33 סוקולוב,Carrefour city (קרפור סיטי),רמת השרון,"זרובבל רמה""ש",7290055700007,4200
187,34 דוד המלך,שופרסל אקספרס,אור עקיבא,אור ים,7290027600007,846
189,34 זהר טל,Carrefour city (קרפור סיטי),הרצליה,הרצליה פיתוח,7290055700007,4150
191,34 יצחק רבין,שופרסל אקספרס,קרית אונו,יצחק רבין,7290027600007,741
192,35 אבא אחימאיר,Carrefour city (קרפור סיטי),תל אביב,רמת אביב ג',7290055700007,1309
193,35 אילת,yellow,תל אביב,נווה צדק,7290644700005,107
194,37 הגליל,yellow,טבריה,עוז טבריה,7290644700005,336
196,37 העליה השניה,Carrefour city (קרפור סיטי),חיפה,בת גלים,7290055700007,2530
199,37 זבוטינסקי,yellow,רמת גן,עוז רמת-גן,7290644700005,160
201,4-6 גרפית,Carrefour city (קרפור סיטי),תל אביב,רמות צהלה,7290055700007,3180
203,40 מנחם בגין,Carrefour city (קרפור סיטי),כפר יונה,כפר יונה דרום,7290055700007,2070
205,41 הרצל,yellow,רחובות,רמה-רחובות,7290644700005,134
207,42 חטיבת גולני,מגה מרקט,אילת,גולני אילת,7290055700014,2150
209,42 יצחק שדה,yellow,תל אביב,טל הגשר,7290644700005,109
210,42 שדרות י-ם,Carrefour city (קרפור סיטי),באר שבע,שדרות ים - באר שבע,7290055700007,610
212,44 שבטי ישראל,yellow,ירושלים,מאה שערים,7290644700005,503
214,45 גרינבאום,Carrefour market (קרפור מרקט),תל אביב,תל כביר ,7290055700007,1228
215,45 גרינבאום,שוק מהדרין,תל אביב,תל כביר ,7290725900003,1228
216,45 שדרות הרצל,Carrefour city (קרפור סיטי),רמלה,הצרכנייה רמלה,7290055700007,1112
218,46 שד בן צבי,yellow,תל אביב,שדרות בן צבי,7290644700005,173
219,46-50 פנקס,מגה בעיר,תל אביב,פנקס,7290055700007,108
220,48 הרצל,yellow,נתניה,נתניה עיר,7290644700005,339
222,48 סוקולוב,מגה בעיר,חולון,ויצמן חולון,7290055700007,191
225,5 דוכיפת,שופרסל אקספרס,כפר סבא,כפר סבא דוכיפת,7290027600007,752
227,5 יוסף ברזילאי,BE,עפולה,עמק סנטר,7290027600007,711
229,5 עוזיאל,Carrefour city (קרפור סיטי),בת ים,עוזיאל בת-ים,7290055700007,183
233,5 פארן,yellow,ירושלים,רמת-אשכול,7290644700005,512
235,5 רזיאל רמת הנשיא,yellow,בת ים,בת-ים,7290644700005,186
237,5 שדרות ירושלים,Carrefour market (קרפור מרקט),אשקלון,אפרידר אשקלון,7290055700007,3740
239,57  הנשיא,Carrefour city (קרפור סיטי),קרית אונו,קרית אונו,7290055700007,701
241,6 אקסודוס,yellow,אשקלון,אקסודוס אשקלון - נתי,7290644700005,536
243,6 האורגים,yellow,חולון,קרית שרת,7290644700005,190
245,6 החשמונאים,yellow,בני ברק,אילון בני ברק,7290644700005,217
